DATE,Hour,Time Slot,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,MCP (Rs/MWh) *
10-03-2021,14,13:15 - 13:30,11360.9,12944.9,8940.4,8940.4,3200.4,3201.4
10-03-2021,14,13:30 - 13:45,11429.7,13383.4,9081.4,9081.4,3109.37,3110.37
10-03-2021,14,13:45 - 14:00,11690.7,13922.5,9392.65,9392.65,3027.29,3028.29
10-03-2021,15,14:00 - 14:15,12423.1,13962.8,10058.3,10058.3,3151.54,3152.54
10-03-2021,15,14:15 - 14:30,13164,13760.8,10614.9,10614.9,3209.48,3210.48
10-03-2021,15,14:30 - 14:45,13780.3,13624.3,11136.5,11136.5,3249.02,3250.02
10-03-2021,15,14:45 - 15:00,14094.6,13546.2,11364.3,11364.3,3350.23,3351.23
10-03-2021,16,15:00 - 15:15,14512.5,12676.2,11324.4,11324.4,3500.52,3501.52
10-03-2021,16,15:15 - 15:30,14722.6,12422.7,11174.4,11174.4,4000.01,4001.01
10-03-2021,16,15:30 - 15:45,15207.1,12289.6,11067.6,11067.6,4072.06,4073.06
10-03-2021,16,15:45 - 16:00,15495.9,11972.9,11255.8,11255.8,4500.01,4501.01
10-03-2021,17,16:00 - 16:15,15409.1,11857.5,11181.3,11181.3,4500.25,4501.25
10-03-2021,17,16:15 - 16:30,15874,11792.3,11471.4,11471.4,4999.83,5000.83
10-03-2021,17,16:30 - 16:45,16118.9,11698.6,11437.4,11437.4,5501.96,5502.96
10-03-2021,17,16:45 - 17:00,15843.4,11595.9,11418.9,11418.9,5750.12,5751.12
10-03-2021,18,17:00 - 17:15,14106,11666.8,11037.6,11037.6,4750.72,4751.72
10-03-2021,18,17:15 - 17:30,13628.8,11031.2,10681.1,10681.1,4999.74,5000.74
10-03-2021,18,17:30 - 17:45,13234.9,10408.4,10197.2,10197.2,5200.5,5201.5
10-03-2021,18,17:45 - 18:00,12937.1,9466.8,9255.6,9255.6,5501,5502
10-03-2021,19,18:00 - 18:15,10938.4,8622.8,8441.6,8441.6,5200.04,5201.04
10-03-2021,19,18:15 - 18:30,10626.7,7879.7,7583.5,7583.5,5503.49,5504.49
10-03-2021,19,18:30 - 18:45,11587,7518.3,7491.3,7491.3,6111.7,6112.7
10-03-2021,19,18:45 - 19:00,11869.1,7362.9,7362.9,7362.9,7750.19,7751.19
10-03-2021,20,19:00 - 19:15,12518.6,7515.7,7515.7,7515.7,7804.45,7805.45
10-03-2021,20,19:15 - 19:30,12514,7561.7,7561.7,7561.7,7818.37,7819.37
10-03-2021,20,19:30 - 19:45,11526.9,7820.7,7803.7,7803.7,6286,6287
10-03-2021,20,19:45 - 20:00,11663.9,7633.3,7616.3,7616.3,6300.82,6301.82
10-03-2021,21,20:00 - 20:15,11020.7,7341.9,7324.9,7324.9,6000.4,6001.4
10-03-2021,21,20:15 - 20:30,10603.3,7009.1,6941.93,6941.93,5999.33,6000.33
10-03-2021,21,20:30 - 20:45,10264.4,6683.7,6507.5,6507.5,5500.39,5501.39
10-03-2021,21,20:45 - 21:00,9496.8,6809.8,6633.6,6633.6,5111.36,5112.36
10-03-2021,22,21:00 - 21:15,9264,6683,6148.9,6148.9,4500.66,4501.66
10-03-2021,22,21:15 - 21:30,9298.9,6726.3,6192.2,6192.2,4500.21,4501.21
10-03-2021,22,21:30 - 21:45,9635.9,6791.7,6189.51,6189.51,4279.93,4280.93
